Date,Close,Ret(%)
2025-01-02,2398.94,0.0
2025-01-03,2441.92,1.79
2025-01-06,2488.64,1.91
2025-01-07,2492.1,0.14
2025-01-08,2521.05,1.16
2025-01-09,2521.9,0.03
2025-01-10,2515.78,-0.24
2025-01-13,2489.56,-1.04
2025-01-14,2497.4,0.31
2025-01-15,2496.81,-0.02
2025-01-16,2527.49,1.23
2025-01-17,2523.55,-0.16
2025-01-20,2520.05,-0.14
2025-01-21,2518.03,-0.08
2025-01-22,2547.06,1.15
2025-01-23,2515.49,-1.24
2025-01-24,2536.8,0.85
2025-01-31,2517.37,-0.77
2025-02-03,2453.95,-2.52
2025-02-04,2481.69,1.13
2025-02-05,2509.27,1.11
2025-02-06,2536.75,1.1
2025-02-07,2521.92,-0.58
2025-02-10,2521.27,-0.03
2025-02-11,2539.05,0.71
2025-02-12,2548.39,0.37
2025-02-13,2583.17,1.36
2025-02-14,2591.05,0.31
2025-02-17,2610.42,0.75
2025-02-18,2626.81,0.63
2025-02-19,2671.52,1.7
2025-02-20,2654.06,-0.65
2025-02-21,2654.58,0.02
2025-02-24,2645.27,-0.35
2025-02-25,2630.29,-0.57
2025-02-26,2641.09,0.41
2025-02-27,2621.75,-0.73
2025-02-28,2532.78,-3.39
2025-03-04,2528.92,-0.15
2025-03-05,2558.13,1.16
2025-03-06,2576.16,0.7
2025-03-07,2563.48,-0.49
2025-03-10,2570.39,0.27
2025-03-11,2537.6,-1.28
2025-03-12,2574.82,1.47
2025-03-13,2573.64,-0.05
2025-03-14,2566.36,-0.28
2025-03-17,2610.69,1.73
2025-03-18,2612.34,0.06
2025-03-19,2628.62,0.62
2025-03-20,2637.1,0.32
2025-03-21,2643.13,0.23
2025-03-24,2632.07,-0.42
2025-03-25,2615.81,-0.62
2025-03-26,2643.94,1.08
2025-03-27,2607.15,-1.39
2025-03-28,2557.98,-1.89
2025-03-31,2481.12,-3.0
2025-04-01,2521.39,1.62
2025-04-02,2505.86,-0.62
2025-04-03,2486.7,-0.76
2025-04-04,2465.42,-0.86
2025-04-07,2328.2,-5.57
2025-04-08,2334.23,0.26
2025-04-09,2293.7,-1.74
2025-04-10,2445.06,6.6
2025-04-11,2432.72,-0.5
2025-04-14,2455.89,0.95
2025-04-15,2477.41,0.88
2025-04-16,2447.43,-1.21
2025-04-17,2470.41,0.94
2025-04-18,2483.42,0.53
2025-04-21,2488.42,0.2
2025-04-22,2486.64,-0.07
2025-04-23,2525.56,1.57
2025-04-24,2522.33,-0.13
2025-04-25,2546.3,0.95
2025-04-28,2548.86,0.1
2025-04-29,2565.42,0.65
2025-04-30,2556.61,-0.34
2025-05-02,2559.79,0.12
2025-05-07,2573.8,0.55
2025-05-08,2579.48,0.22
2025-05-09,2577.27,-0.09
2025-05-12,2607.33,1.17
2025-05-13,2608.42,0.04
2025-05-14,2640.57,1.23
2025-05-15,2621.36,-0.73
2025-05-16,2626.87,0.21
2025-05-19,2603.42,-0.89
2025-05-20,2601.8,-0.06
2025-05-21,2625.58,0.91
2025-05-22,2593.67,-1.22
2025-05-23,2592.09,-0.06
2025-05-26,2644.4,2.02
2025-05-27,2637.22,-0.27
2025-05-28,2670.15,1.25
2025-05-29,2720.64,1.89
2025-05-30,2697.67,-0.84
2025-06-02,2698.97,0.05
2025-06-04,2770.84,2.66
2025-06-05,2812.05,1.49
2025-06-09,2855.77,1.55
2025-06-10,2871.85,0.56
2025-06-11,2907.04,1.23
2025-06-12,2920.03,0.45
2025-06-13,2894.62,-0.87
2025-06-16,2946.66,1.8
2025-06-17,2950.3,0.12
2025-06-18,2972.19,0.74
2025-06-19,2977.74,0.19
2025-06-20,3021.84,1.48
2025-06-23,3014.47,-0.24
2025-06-24,3103.64,2.96
2025-06-25,3108.25,0.15
2025-06-26,3079.56,-0.92
2025-06-27,3055.94,-0.77
2025-06-30,3071.7,0.52
2025-07-01,3089.65,0.58
2025-07-02,3075.06,-0.47
2025-07-03,3116.27,1.34
2025-07-04,3054.28,-1.99
2025-07-07,3059.47,0.17
2025-07-08,3114.95,1.81
2025-07-09,3133.74,0.6
2025-07-10,3183.23,1.58
2025-07-11,3175.77,-0.23
2025-07-14,3202.03,0.83
2025-07-15,3215.28,0.41
2025-07-16,3186.38,-0.9
2025-07-17,3192.29,0.19
2025-07-18,3188.07,-0.13
2025-07-21,3210.81,0.71
2025-07-22,3169.94,-1.27
2025-07-23,3183.77,0.44
2025-07-24,3190.45,0.21
2025-07-25,3196.05,0.18
