종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"095570","AJ네트웍스","KOSPI","일반서비스","4375","-75","-1.69","197980820625"
"006840","AK홀딩스","KOSPI","기타금융","6600","-20","-0.30","87433902600"
"027410","BGF","KOSPI","기타금융","4250","-110","-2.52","406796361750"
"282330","BGF리테일","KOSPI","유통","120000","-8200","-6.40","2074068720000"
"138930","BNK금융지주","KOSPI","기타금융","18170","-300","-1.62","5638642189610"
"001460","BYC","KOSPI","섬유·의류","37000","-400","-1.07","231107550000"
"001465","BYC우","KOSPI","섬유·의류","24850","-100","-0.40","53523172500"
"001040","CJ","KOSPI","기타금융","183000","-3800","-2.03","5339390634000"
"079160","CJ CGV","KOSPI","오락·문화","4710","-20","-0.42","779893438410"
"00104K","CJ4우(전환)","KOSPI","기타금융","168200","-1300","-0.77","710899318400"
"000120","CJ대한통운","KOSPI","운송·창고","84700","-2600","-2.98","1932205536800"
"011150","CJ씨푸드","KOSPI","음식료·담배","2110","0","0.00","75813931030"
"011155","CJ씨푸드1우","KOSPI","음식료·담배","9700","-10","-0.10","1940000000"
"001045","CJ우","KOSPI","기타금융","76200","300","0.40","172228992600"
"097950","CJ제일제당","KOSPI","음식료·담배","197300","-3200","-1.60","2970190897800"
"097955","CJ제일제당 우","KOSPI","음식료·담배","123600","-1200","-0.96","164070718800"
"000480","CR홀딩스","KOSPI","비금속","4885","0","0.00","229060043650"
"000590","CS홀딩스","KOSPI","기타금융","75000","2200","3.02","86586150000"
"012030","DB","KOSPI","IT 서비스","1906","-99","-4.94","383437516298"
"005830","DB손해보험","KOSPI","보험","151500","-1900","-1.24","9923302873500"
"016610","DB증권","KOSPI","증권","10690","-410","-3.69","453751898410"
"000990","DB하이텍","KOSPI","전기·전자","158500","500","0.32","6895477198000"
"000300","DH오토넥스","KOSPI","운송장비·부품","4200","0","0.00","174035631000"
"001530","DI동일","KOSPI","유통","23850","600","2.58","494067560850"
"015590","DKME","KOSPI","기계·장비","2245","40","1.81","119874711460"
"000210","DL","KOSPI","화학","54100","-700","-1.28","1133713324400"
"000215","DL우","KOSPI","화학","24350","-500","-2.01","41056900250"
"375500","DL이앤씨","KOSPI","건설","85000","-4400","-4.92","3288957955000"
"37550L","DL이앤씨2우(전환)","KOSPI","건설","53500","-2300","-4.12","112989378500"
"37550K","DL이앤씨우","KOSPI","건설","26250","-800","-2.96","55489481250"
"007340","DN오토모티브","KOSPI","전기·전자","45100","450","1.01","2638840011500"
"004840","DRB동일","KOSPI","화학","4520","-35","-0.77","87111085280"
"155660","DSR","KOSPI","금속","4350","30","0.69","69600000000"
"069730","DSR제강","KOSPI","금속","5230","-70","-1.32","75312000000"
"017860","DS단석","KOSPI","화학","14560","-70","-0.48","258573063840"
"092780","DYP","KOSPI","운송장비·부품","4215","-125","-2.88","55505058900"
"017940","E1","KOSPI","유통","85400","-2200","-2.51","585844000000"
"365550","ESR켄달스퀘어리츠","KOSPI","부동산","3990","105","2.70","981895110000"
"383220","F&F","KOSPI","섬유·의류","83000","2900","3.62","3179487225000"
"007700","F&F홀딩스","KOSPI","기타금융","16830","-220","-1.29","658294796610"
"114090","GKL","KOSPI","오락·문화","11680","-20","-0.17","722474225600"
"078930","GS","KOSPI","기타금융","72900","-6300","-7.95","6772081585500"
"006360","GS건설","KOSPI","건설","29450","-2400","-7.54","2520374880500"
"001250","GS글로벌","KOSPI","유통","3225","-125","-3.73","266171388900"
"007070","GS리테일","KOSPI","유통","23900","-1700","-6.64","1998217218500"
"078935","GS우","KOSPI","기타금융","54400","-1400","-2.51","96814374400"
"499790","GS피앤엘","KOSPI","기타금융","46100","-2650","-5.44","914201770100"
"012630","HDC","KOSPI","기타금융","21550","-900","-4.01","1287434087550"
"039570","HDC랩스","KOSPI","건설","7850","-50","-0.63","203767167850"
"089470","HDC현대EP","KOSPI","화학","4105","-80","-1.91","130949500000"
"267270","HD건설기계","KOSPI","기계·장비","155900","1300","0.84","7471023742300"
"009540","HD한국조선해양","KOSPI","기타금융","434000","-4500","-1.03","30715532344000"
"267250","HD현대","KOSPI","기타금융","262500","-9500","-3.49","20735684812500"
"443060","HD현대마린솔루션","KOSPI","일반서비스","246500","-9000","-3.52","11051447890000"
"071970","HD현대마린엔진","KOSPI","기계·장비","75300","3300","4.58","2554288573500"
"322000","HD현대에너지솔루션","KOSPI","전기·전자","159900","-5600","-3.38","1790880000000"
"267260","HD현대일렉트릭","KOSPI","전기·전자","1120000","6000","0.54","40372791200000"
