종목코드,종목명,종가,대비,등락률,EPS,PER,선행 EPS,선행 PER,BPS,PBR,주당배당금,배당수익률
"060310","3S","1301","-21","-1.59",,,,,"933","1.39","0","0.00"
"095570","AJ네트웍스","4375","-75","-1.69","635","6.89","615","7.12","10216","0.43","330","7.54"
"006840","AK홀딩스","6600","-20","-0.30",,,,,"31492","0.21","0","0.00"
"054620","APS","4740","185","4.06",,,,,"11700","0.41","0","0.00"
"079810","APS이노베이션","3835","10","0.26","4","958.75",,,"7818","0.49","0","0.00"
"265520","AP시스템","24750","0","0.00","1605","15.42",,,"24853","1.00","340","1.37"
"211270","AP위성","11670","-260","-2.18",,,,,"7297","1.60","0","0.00"
"027410","BGF","4250","-110","-2.52","618","6.88","674","6.31","18674","0.23","130","3.06"
"282330","BGF리테일","120000","-8200","-6.40","11303","10.62","13495","8.89","76009","1.58","4100","3.42"
"126600","BGF에코머티리얼즈","3340","95","2.93","226","14.78",,,"6634","0.50","50","1.50"
"138930","BNK금융지주","18170","-300","-1.62","2512","7.23","2881","6.31","34780","0.52","735","4.05"
"001460","BYC","37000","-400","-1.07","2367","15.63",,,"68791","0.54","400","1.08"
"001465","BYC우","24850","-100","-0.40",,,,,,,"405","1.63"
"083790","CG인바이츠","1008","38","3.92",,,,,"1144","0.88","0","0.00"
"001040","CJ","183000","-3800","-2.03","4271","42.85","12226","14.97","155346","1.18","3300","1.80"
"079160","CJ CGV","4710","-20","-0.42",,,,,"3444","1.37","0","0.00"
"035760","CJ ENM","38300","500","1.32","1422","26.93","3528","10.86","134460","0.28","0","0.00"
"311690","CJ 바이오사이언스","5050","-20","-0.39",,,,,"4105","1.23","0","0.00"
"00104K","CJ4우(전환)","168200","-1300","-0.77",,,,,,,"3350","1.99"
"000120","CJ대한통운","84700","-2600","-2.98","11347","7.46","12410","6.83","207860","0.41","800","0.94"
"011150","CJ씨푸드","2110","0","0.00","78","27.05",,,"2447","0.86","0","0.00"
"011155","CJ씨푸드1우","9700","-10","-0.10",,,,,,,"0","0.00"
"001045","CJ우","76200","300","0.40",,,,,,,"3350","4.40"
"097950","CJ제일제당","197300","-3200","-1.60",,,"26395","7.47","440524","0.45","6000","3.04"
"097955","CJ제일제당 우","123600","-1200","-0.96",,,,,,,"6050","4.89"
"051500","CJ프레시웨이","24550","250","1.03","3961","6.20","5532","4.44","38342","0.64","500","2.04"
"058820","CMG제약","1139","28","2.52",,,,,"1363","0.84","0","0.00"
"056730","CNT85","2000","86","4.49",,,,,"4200","0.48","0","0.00"
"000480","CR홀딩스","4885","0","0.00",,,,,"13605","0.36","410","8.39"
"065770","CS","1679","35","2.13",,,,,"1799","0.93","0","0.00"
"083660","CSA 코스믹","396","91","29.84",,,,,"229","1.73","0","0.00"
"000590","CS홀딩스","75000","2200","3.02","16782","4.47",,,"320744","0.23","500","0.67"
"012030","DB","1906","-99","-4.94","259","7.36",,,"2351","0.81","0","0.00"
"477760","DB금융스팩12호","2065","-5","-0.24",,,,,,,"0","0.00"
"005830","DB손해보험","151500","-1900","-1.24","29597","5.12","24621","6.15","179423","0.84","7600","5.02"
"016610","DB증권","10690","-410","-3.69","2029","5.27",,,"27483","0.39","550","5.14"
"000990","DB하이텍","158500","500","0.32","6285","25.22","9060","17.49","50326","3.15","810","0.51"
"099520","DGI","1284","0","0.00",,,,,"509","2.52","0","0.00"
"000300","DH오토넥스","4200","0","0.00","101","41.58",,,"874","4.81","0","0.00"
"290120","DH오토리드","2580","35","1.38","888","2.91",,,"6278","0.41","100","3.88"
"025440","DH오토웨어","730","0","0.00",,,,,"1084","0.67","0","0.00"
"001530","DI동일","23850","600","2.58",,,"804","29.67","25027","0.95","100","0.42"
"015590","DKME","2245","40","1.81",,,,,"2640","0.85","0","0.00"
"000210","DL","54100","-700","-1.28",,,"11608","4.66","177828","0.30","0","0.00"
